,cosmodc2_hp,cosmodc2_id,dec,flux_g,flux_g_noMW,flux_i,flux_i_noMW,flux_r,flux_r_noMW,flux_u,flux_u_noMW,flux_y,flux_y_noMW,flux_z,flux_z_noMW,host_galaxy,id,id_truth_type,is_pointsource,is_variable,mag_r,ra_x,redshift,truth_type,HPX_2_17,ra_y,decl,diaObjectid,rPSFluxMax
475,-1,-1,-36.1865896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875532992,MS_9813_1048,MS_9813_1048_3,1,1,,59.3375134,0.571516,3,144768424810,59.3375217,-36.1865936,1650578059524310198,1563.9530222
476,-1,-1,-36.3208115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7876307005,MS_9813_2579,MS_9813_2579_3,1,1,,59.2923165,0.812117,3,144768195578,59.292319,-36.3208479,1650578059524312065,808.0744456
477,-1,-1,-36.2634062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7876488608,MS_9813_2722,MS_9813_2722_3,1,1,,59.2721952,0.838629,3,144768403678,59.272204,-36.2635035,1650578059524312324,530.5249287
478,-1,-1,-36.4938233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7876155040,MS_9813_2196,MS_9813_2196_3,1,1,,59.0985351,0.760704,3,144767416717,59.0986022,-36.4938258,1650525282966178212,1012.1189834
479,-1,-1,-36.1219956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875740662,MS_9813_1454,MS_9813_1454_3,1,1,,59.033785,0.646385,3,144769791389,59.0338418,-36.12198,1650586855617335052,1194.9873025
480,-1,-1,-36.1333744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875750334,MS_9813_1475,MS_9813_1475_3,1,1,,59.0984653,0.642198,3,144769774259,59.0984696,-36.1333246,1650586855617335482,711.722937
481,-1,-1,-36.4017206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875988262,MS_9813_2010,MS_9813_2010_3,1,1,,59.2600075,0.728123,3,144768086009,59.260017,-36.4016805,1650516486873154043,693.9251465
482,-1,-1,-36.1292126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875863460,MS_9813_1777,MS_9813_1777_3,1,1,,59.1424792,0.681083,3,144769943629,59.1424938,-36.1292103,1650586855617332362,1156.2984186
483,-1,-1,-36.4363574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875758676,MS_9813_1486,MS_9813_1486_3,1,1,,59.1532957,0.647936,3,144768122252,59.1533171,-36.43638,1650525282966176578,1025.0557566
484,-1,-1,-36.3139708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875085511,MS_9813_221,MS_9813_221_3,1,1,,59.0941326,0.30316,3,144769579155,59.0939414,-36.3141014,1650586855617333610,-968.2934259
485,-1,-1,-36.3139708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875085511,MS_9813_221,MS_9813_221_3,1,1,,59.0941326,0.30316,3,144769579155,59.0938907,-36.3139347,1650586855617333937,
486,-1,-1,-36.3139708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875085511,MS_9813_221,MS_9813_221_3,1,1,,59.0941326,0.30316,3,144769579155,59.0941313,-36.3139266,1650586855617333454,
487,-1,-1,-36.3139708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875085511,MS_9813_221,MS_9813_221_3,1,1,,59.0941326,0.30316,3,144769579155,59.0939689,-36.313773,1650586855617334684,
488,-1,-1,-36.3721833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875243952,MS_9813_462,MS_9813_462_3,1,1,,59.332875,0.415865,3,144768097186,59.3327462,-36.3719642,1650516486873156742,
489,-1,-1,-36.3721833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875243952,MS_9813_462,MS_9813_462_3,1,1,,59.332875,0.415865,3,144768097186,59.3328624,-36.3721698,1650516486873153875,3353.1125367
490,-1,-1,-36.3400847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875112386,MS_9813_266,MS_9813_266_3,1,1,,59.3119852,0.32808,3,144768192894,59.3119883,-36.3400806,1650516486873153778,2492.2583092
491,-1,-1,-36.4289665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875189775,MS_9813_323,MS_9813_323_3,1,1,,59.1914995,0.371336,3,144768126896,59.1915125,-36.42897,1650516486873153939,3563.7180253
492,-1,-1,-36.2821918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875365312,MS_9813_744,MS_9813_744_3,1,1,,59.0357503,0.48621,3,144769608152,59.0357599,-36.2821929,1650586855617334744,4374.5229544
493,-1,-1,-36.1361825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875370505,MS_9813_745,MS_9813_745_3,1,1,,59.1250923,0.49832,3,144769769032,59.1250983,-36.136179,1650586855617333971,
494,-1,-1,-36.4986736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875149729,MS_9813_324,MS_9813_324_3,1,1,,59.0579831,0.362335,3,144767435689,59.0579804,-36.4986759,1650525282966176349,4777.3117316
