LAMBDA0,LAMBDA,Llam
76124.32300828249,76877.95380606448,1.702925707853867e+34
75821.04111088288,76571.66941788062,7.219739807600546e+33
75518.96614590561,76266.60391075007,1.6559172565920398e+34
75218.09015174232,75962.74924424457,1.396344862215614e+34
74918.42105240903,75660.11342082788,2.7970122317000405e+34
74619.93516355092,75358.67252167007,3.023589213274501e+34
74322.6481806251,75058.44239761328,2.2947341104655174e+34
74026.5444417047,74759.40723167757,3.003101846240724e+33
73731.61629210757,74461.55929339943,3.236661539535502e+34
73437.86377362804,74164.89862498695,3.461669374298103e+34
73145.28681593851,73869.4251554163,5.401654733558968e+34
72853.8703478098,73575.12366425311,4.234526058748054e+34
72563.61443655926,73281.9942194812,3.7742706878007295e+34
72274.51171075008,72990.0293766865,4.954475602900663e+34
71986.56946159914,72699.23649926897,2.6482435098131887e+34
71699.77300505669,72409.60075780675,3.1334467410953067e+34
71414.11516530807,72121.11490544463,3.660772545651065e+34
71129.59598330456,71833.77898353928,4.0550336879784577e+34
70846.2083505931,71547.58581326397,2.3831907854817176e+34
70563.95226103903,71262.53538842332,3.007456953928937e+34
70282.8206722429,70978.62059689811,3.077839058057243e+34
70002.81353150467,70695.84138546657,4.392252146516489e+34
69723.9170417249,70414.18382043797,2.2571811958289413e+34
69446.13126686936,70133.64796641137,7.268657469724996e+33
69169.45616448956,69854.233780518,3.2005451977967907e+34
68893.87827164,69575.92766652924,1.7750860865441253e+34
68619.39765701674,69298.72969382121,4.3427542729947995e+34
68346.01428407899,69022.63982549138,5.237390284477855e+34
68073.72151261967,68747.6513555946,6.04925381821093e+34
67802.51280810732,68473.75768490758,4.1337732130037416e+34
67532.38173959822,68200.95231882024,4.576213797338649e+34
67263.32832434804,67929.23527475909,6.164441856373495e+34
66995.34618105854,67658.60010825102,4.225165333571668e+34
66728.43527450143,67389.046783719,5.77221875319781e+34
66462.5830758265,67120.56264827718,5.166891288867203e+34
66197.78964603262,66853.14776352834,3.87467593556246e+34
65934.05494468004,66586.80208863238,5.609169971919957e+34
65671.37278210217,66321.519372645,3.586339399308859e+34
65409.73106193178,66057.2873994449,5.315847570701368e+34
65149.13583370797,65794.11227846169,3.860298543527569e+34
64889.575137341446,65531.981931201124,4.472101984385135e+34
64631.054871287306,65270.90231451305,4.909020029940563e+34
64373.55739671866,65010.85561494617,5.983469112704067e+34
64117.0886022782,64751.84777944075,4.313843406032766e+34
63861.64265200527,64493.87291426012,3.5093606852082905e+34
63607.21379681801,64236.92521340651,6.4339495544972815e+34
63353.80200312933,63981.00464296031,9.629421548792561e+34
63101.39597061476,63726.09979072385,3.0480491257808946e+34
62849.99574285787,63472.21070071217,7.697808345614748e+34
62599.59577028605,63219.33176841188,6.5519566964252595e+34
62350.19603737031,62967.46297814028,6.524904359438626e+34
62101.78561420559,62716.59329178622,2.106488160730045e+34
61854.36992347434,62466.72818571674,8.375586105470844e+34
61607.938149493995,62217.856737173985,5.445483382755299e+34
61362.49028836114,61969.97894221592,1.3777537863503454e+35
61118.015763202086,61723.08411925779,6.642166812146329e+34
60874.51983412435,61477.17758048218,8.134761604241498e+34
60631.99203167991,61232.248752793545,6.399295847449451e+34
60390.4272408777,60988.292470562395,1.0700366503703109e+35
60149.83056829151,60745.3138909176,1.282429488973431e+35
59910.186727701905,60503.297576306155,7.192515506982808e+34
59671.50080472032,60262.24866268705,8.507028491644366e+34
59433.76772380611,60022.16202427179,8.751250740960607e+34
59196.977563016015,59783.02764088987,6.784927382020446e+34
58961.13525463864,59544.850493659564,8.115526002643871e+34
58726.230971902456,59307.62065852429,6.270645145754147e+34
58492.2599084642,59071.33328155799,1.0728296129697383e+35
58259.222083199835,58835.98838182352,8.023925533277198e+34
58027.117426263336,58601.585888783346,6.129260719879409e+34
57795.93172346351,58368.1114475258,1.4752557366203406e+35
57565.66971666303,58135.569846858,1.1663143857947219e+35
57336.322076311735,57903.95166486722,1.1917108563667669e+35
57107.89340558732,57673.26155030263,7.349981218103024e+34
56880.369920970064,57443.48558318767,8.157415655274685e+34
56653.75619806193,57214.628384422744,9.16932500236876e+34
56428.043182250054,56986.68080975433,8.912760809361219e+34
56203.23088155884,56759.642867286275,1.2968908298320223e+35
55979.314822724584,56533.51003946956,1.0870115081124378e+35
55756.28622767679,56308.27346133079,6.627872061856511e+34
55534.15381694498,56083.94193973274,1.1261596320398286e+35
55312.90019954034,55860.49791151579,1.1212231368205765e+35
55092.52973860815,55637.945783020376,1.1032764268928002e+35
54873.03812890574,55416.28120638191,9.709185821232613e+34
54654.42111755631,55195.49988662012,1.0228948259597628e+35
54436.67450301524,54975.59758059509,1.3487966013794658e+35
54219.79413405516,54756.57009598231,7.467085227689886e+34
54003.7799998403,54538.41742183872,8.477619121744982e+34
53788.62389066793,54321.13126718554,1.4467298708479444e+35
53574.32582739314,54104.711653084334,7.972048439568374e+34
53360.8857492284,53889.15851814576,1.4777662249101817e+35
53148.29162791698,53674.45971503336,9.435898376070154e+34
52936.543527818365,53460.61530874377,1.2894885481697533e+35
52725.64143192787,53247.62528210396,7.628156627232725e+34
52515.5813747868,53035.48563039719,1.0955022335153516e+35
52306.35559789283,52824.18851831197,8.270077878473672e+34
52097.96412366265,52613.73396848691,1.2763480597543294e+35
51890.3993408129,52404.11429428695,1.291615881980619e+35
51683.6650418062,52195.33332572008,1.2308460812313235e+35
51477.75366884235,51987.38343016389,5.502315677687312e+34
51272.66519991829,51780.264585397475,1.0409918112188355e+35
51068.3922187313,51573.96930169674,3.8388252625808573e+34
50864.931095116066,51368.49391295772,9.537048405346827e+34
50662.28183763045,51163.83842782299,7.0092503295409335e+34
50460.440805974504,50959.999169953655,1.445682289682637e+35
50259.40085454063,50756.96892300058,1.1676740965653181e+35
50059.1655335437,50554.75127232579,8.521356009141629e+34
49859.72774296952,50353.33904762492,6.8344289189613535e+34
49661.08399053858,50152.728722044914,1.533215885824146e+35
49463.230819165845,49952.916804275585,1.1900492865351076e+35
49266.164806263514,49753.89983784552,6.448802120031791e+34
49069.88594073919,49555.67781155251,1.3301369776838145e+35
48874.387435556935,49358.24387116895,5.844220258933323e+34
48679.669292382954,49161.59801837755,1.814057652370896e+35
48485.72484349293,48965.73351944351,1.0710399105053017e+35
48292.557373066724,48770.653691060084,1.3862912131744527e+35
48100.157005722445,48576.348560079095,7.909070561006339e+34
47908.520544373256,48382.81489776255,1.0077370484634202e+35
47717.651209453565,48190.05595642715,1.3787571266133666e+35
47527.539372205545,47998.06201199038,1.3356271834028725e+35
47338.18821002127,47806.836273300476,1.3581224988874816e+35
47149.58825395123,47616.36917766535,1.6403049065014647e+35
46961.74263764588,47426.66388975858,1.5391761235361452e+35
46774.64511716745,47237.714103827406,1.6096081097561193e+35
46588.289574516195,47049.51364130391,1.2316513263252151e+35
46402.67907655386,46862.06559941175,1.29460444592197e+35
46217.80753354211,46675.36382812418,1.6184185361558913e+35
46033.674923010265,46489.40830474807,1.2750091150238581e+35
45850.27230602319,46304.19000185282,1.2895200442930862e+35
45667.60265906828,46119.71192539306,1.1305074548144255e+35
45485.66008864678,45935.968123524384,1.576189682962356e+35
45304.44169746432,45752.95567026921,2.2545882367079613e+35
45123.94746763289,45570.674547562456,1.1913646760352293e+35
44944.16881232339,45389.11608356539,1.6736724229313426e+35
44765.10859244768,45208.28316751291,1.4866805486433456e+35
44586.761144690965,45028.1700800234,1.1785589494949588e+35
44409.12644987486,44848.77680172862,1.705513930260432e+35
44232.19618817743,44670.09493044039,2.4138624494800815e+35
44055.97312667947,44492.1272606336,2.0074024010031148e+35
43880.45177516849,44314.86824774266,2.3142419504245698e+35
43705.62942962778,44138.315160981096,2.25338188976366e+35
43531.50340533092,43962.4652890437,2.6622177955067785e+35
43358.071036459936,43787.31593972089,1.5186925817638536e+35
43185.329675731315,43612.86443952106,1.992679785631255e+35
43013.27669402968,43439.10813330057,2.0509910042872137e+35
42841.90948004901,43266.0443839015,2.6745937550114822e+35
42671.22288571766,43093.66799228627,2.804598623732187e+35
42501.21946306052,42921.981535744824,2.926565490846381e+35
42331.88904990077,42750.97475149479,1.059968890155204e+35
42163.23670398392,42580.652747353364,2.7355604855775294e+35
41995.25488959808,42411.0079130051,2.1332839177176247e+35
41827.94360798289,42242.04024970192,1.7616923377908582e+35
41661.29792737565,42073.74477685667,2.3594525704374307e+35
41495.31783944203,41906.12148605251,2.7696200053100727e+35
41329.99848064143,41739.16546559978,3.0878503977196697e+35
41165.33983252746,41572.87669686948,4.006791730456125e+35
41001.3323815824,41407.24557216006,2.676910050076721e+35
40837.98089020566,41242.2769010187,3.6092034586630256e+35
40675.28062519938,41077.96590338886,3.0329676289145685e+35
40513.226940732726,40914.30788744598,3.2994627001216864e+35
40351.81984481233,40751.30286127597,4.689712569250227e+35
40191.054752203825,40588.946194250646,3.1777323549040705e+35
