K,name,m,vk,Xlan
18.874,knova_d1_n10_m0.025_vk0.20_fd1.0_Xlan1e-4.0.h5,0.025,0.2,1e-4.0
19.5113,knova_d1_n10_m0.025_vk0.20_fd1.0_Xlan1e-5.0.h5,0.025,0.2,1e-5.0
19.5986,knova_d1_n10_m0.025_vk0.20_fd1.0_Xlan1e-9.0.h5,0.025,0.2,1e-9.0
17.5231,knova_d1_n10_m0.025_vk0.30_fd1.0_Xlan1e-1.0.h5,0.025,0.3,1e-1.0
17.4849,knova_d1_n10_m0.025_vk0.30_fd1.0_Xlan1e-2.0.h5,0.025,0.3,1e-2.0
17.8159,knova_d1_n10_m0.025_vk0.30_fd1.0_Xlan1e-3.0.h5,0.025,0.3,1e-3.0
19.0028,knova_d1_n10_m0.025_vk0.30_fd1.0_Xlan1e-4.0.h5,0.025,0.3,1e-4.0
19.486,knova_d1_n10_m0.025_vk0.30_fd1.0_Xlan1e-5.0.h5,0.025,0.3,1e-5.0
19.5527,knova_d1_n10_m0.025_vk0.30_fd1.0_Xlan1e-9.0.h5,0.025,0.3,1e-9.0
18.9729,knova_d1_n10_m0.030_vk0.03_fd1.0_Xlan1e-1.0.h5,0.03,0.03,1e-1.0
18.6624,knova_d1_n10_m0.030_vk0.03_fd1.0_Xlan1e-2.0.h5,0.03,0.03,1e-2.0
19.0849,knova_d1_n10_m0.030_vk0.03_fd1.0_Xlan1e-3.0.h5,0.03,0.03,1e-3.0
19.616,knova_d1_n10_m0.030_vk0.03_fd1.0_Xlan1e-4.0.h5,0.03,0.03,1e-4.0
19.876,knova_d1_n10_m0.030_vk0.03_fd1.0_Xlan1e-5.0.h5,0.03,0.03,1e-5.0
19.919,knova_d1_n10_m0.030_vk0.03_fd1.0_Xlan1e-9.0.h5,0.03,0.03,1e-9.0
18.8678,knova_d1_n10_m0.030_vk0.05_fd1.0_Xlan1e-1.0.h5,0.03,0.05,1e-1.0
18.465,knova_d1_n10_m0.030_vk0.05_fd1.0_Xlan1e-2.0.h5,0.03,0.05,1e-2.0
18.744,knova_d1_n10_m0.030_vk0.05_fd1.0_Xlan1e-3.0.h5,0.03,0.05,1e-3.0
19.1505,knova_d1_n10_m0.030_vk0.05_fd1.0_Xlan1e-4.0.h5,0.03,0.05,1e-4.0
19.5786,knova_d1_n10_m0.030_vk0.05_fd1.0_Xlan1e-5.0.h5,0.03,0.05,1e-5.0
19.6058,knova_d1_n10_m0.030_vk0.05_fd1.0_Xlan1e-9.0.h5,0.03,0.05,1e-9.0
18.3473,knova_d1_n10_m0.030_vk0.10_fd1.0_Xlan1e-1.0.h5,0.03,0.1,1e-1.0
17.9428,knova_d1_n10_m0.030_vk0.10_fd1.0_Xlan1e-2.0.h5,0.03,0.1,1e-2.0
18.2057,knova_d1_n10_m0.030_vk0.10_fd1.0_Xlan1e-3.0.h5,0.03,0.1,1e-3.0
18.6863,knova_d1_n10_m0.030_vk0.10_fd1.0_Xlan1e-4.0.h5,0.03,0.1,1e-4.0
19.1404,knova_d1_n10_m0.030_vk0.10_fd1.0_Xlan1e-5.0.h5,0.03,0.1,1e-5.0
19.1974,knova_d1_n10_m0.030_vk0.10_fd1.0_Xlan1e-9.0.h5,0.03,0.1,1e-9.0
17.7532,knova_d1_n10_m0.030_vk0.20_fd1.0_Xlan1e-1.0.h5,0.03,0.2,1e-1.0
17.5464,knova_d1_n10_m0.030_vk0.20_fd1.0_Xlan1e-2.0.h5,0.03,0.2,1e-2.0
17.761,knova_d1_n10_m0.030_vk0.20_fd1.0_Xlan1e-3.0.h5,0.03,0.2,1e-3.0
18.7139,knova_d1_n10_m0.030_vk0.20_fd1.0_Xlan1e-4.0.h5,0.03,0.2,1e-4.0
19.33,knova_d1_n10_m0.030_vk0.20_fd1.0_Xlan1e-5.0.h5,0.03,0.2,1e-5.0
19.3977,knova_d1_n10_m0.030_vk0.20_fd1.0_Xlan1e-9.0.h5,0.03,0.2,1e-9.0
17.388,knova_d1_n10_m0.030_vk0.30_fd1.0_Xlan1e-1.0.h5,0.03,0.3,1e-1.0
17.3403,knova_d1_n10_m0.030_vk0.30_fd1.0_Xlan1e-2.0.h5,0.03,0.3,1e-2.0
17.6523,knova_d1_n10_m0.030_vk0.30_fd1.0_Xlan1e-3.0.h5,0.03,0.3,1e-3.0
18.8342,knova_d1_n10_m0.030_vk0.30_fd1.0_Xlan1e-4.0.h5,0.03,0.3,1e-4.0
19.306,knova_d1_n10_m0.030_vk0.30_fd1.0_Xlan1e-5.0.h5,0.03,0.3,1e-5.0
19.3561,knova_d1_n10_m0.030_vk0.30_fd1.0_Xlan1e-9.0.h5,0.03,0.3,1e-9.0
18.7771,knova_d1_n10_m0.040_vk0.03_fd1.0_Xlan1e-1.0.h5,0.04,0.03,1e-1.0
18.4319,knova_d1_n10_m0.040_vk0.03_fd1.0_Xlan1e-2.0.h5,0.04,0.03,1e-2.0
18.8345,knova_d1_n10_m0.040_vk0.03_fd1.0_Xlan1e-3.0.h5,0.04,0.03,1e-3.0
19.3965,knova_d1_n10_m0.040_vk0.03_fd1.0_Xlan1e-4.0.h5,0.04,0.03,1e-4.0
19.6809,knova_d1_n10_m0.040_vk0.03_fd1.0_Xlan1e-5.0.h5,0.04,0.03,1e-5.0
19.62,knova_d1_n10_m0.040_vk0.03_fd1.0_Xlan1e-9.0.h5,0.04,0.03,1e-9.0
18.6419,knova_d1_n10_m0.040_vk0.05_fd1.0_Xlan1e-1.0.h5,0.04,0.05,1e-1.0
18.2231,knova_d1_n10_m0.040_vk0.05_fd1.0_Xlan1e-2.0.h5,0.04,0.05,1e-2.0
18.4642,knova_d1_n10_m0.040_vk0.05_fd1.0_Xlan1e-3.0.h5,0.04,0.05,1e-3.0
18.9208,knova_d1_n10_m0.040_vk0.05_fd1.0_Xlan1e-4.0.h5,0.04,0.05,1e-4.0
19.288,knova_d1_n10_m0.040_vk0.05_fd1.0_Xlan1e-5.0.h5,0.04,0.05,1e-5.0
19.3289,knova_d1_n10_m0.040_vk0.05_fd1.0_Xlan1e-9.0.h5,0.04,0.05,1e-9.0
18.1161,knova_d1_n10_m0.040_vk0.10_fd1.0_Xlan1e-1.0.h5,0.04,0.1,1e-1.0
17.7102,knova_d1_n10_m0.040_vk0.10_fd1.0_Xlan1e-2.0.h5,0.04,0.1,1e-2.0
17.9638,knova_d1_n10_m0.040_vk0.10_fd1.0_Xlan1e-3.0.h5,0.04,0.1,1e-3.0
18.421,knova_d1_n10_m0.040_vk0.10_fd1.0_Xlan1e-4.0.h5,0.04,0.1,1e-4.0
18.8534,knova_d1_n10_m0.040_vk0.10_fd1.0_Xlan1e-5.0.h5,0.04,0.1,1e-5.0
18.9427,knova_d1_n10_m0.040_vk0.10_fd1.0_Xlan1e-9.0.h5,0.04,0.1,1e-9.0
17.5292,knova_d1_n10_m0.040_vk0.20_fd1.0_Xlan1e-1.0.h5,0.04,0.2,1e-1.0
17.313,knova_d1_n10_m0.040_vk0.20_fd1.0_Xlan1e-2.0.h5,0.04,0.2,1e-2.0
17.5217,knova_d1_n10_m0.040_vk0.20_fd1.0_Xlan1e-3.0.h5,0.04,0.2,1e-3.0
18.3958,knova_d1_n10_m0.040_vk0.20_fd1.0_Xlan1e-4.0.h5,0.04,0.2,1e-4.0
