,cosmodc2_hp,cosmodc2_id,dec,flux_g,flux_g_noMW,flux_i,flux_i_noMW,flux_r,flux_r_noMW,flux_u,flux_u_noMW,flux_y,flux_y_noMW,flux_z,flux_z_noMW,host_galaxy,id,id_truth_type,is_pointsource,is_variable,mag_r,ra_x,redshift,truth_type,HPX_2_17,ra_y,decl,diaObjectid,rPSFluxMax,diff_ra,diff_dec
164,-1,-1,-37.0052123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875191590,MS_9813_479,MS_9813_479_3,1,1,,59.4711403,0.401576,3,144760997285,59.4711407,-37.005215,1650815554035910249,1652.4629494,-0.0014399999912484418,0.009720000011270713
165,-1,-1,-36.9911828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875118021,MS_9813_244,MS_9813_244_3,1,1,,59.6763618,0.324009,3,144761306915,59.6763636,-36.9912063,1650868330594045281,,-0.006479999998987296,0.08460000001662138
166,-1,-1,-36.9911828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875118021,MS_9813_244,MS_9813_244_3,1,1,,59.6763618,0.324009,3,144761306915,59.67611,-36.9910532,1650868330594048766,,0.9064800000032847,-0.4665599999782444
167,-1,-1,-36.9207091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875244929,MS_9813_537,MS_9813_537_3,1,1,,59.5803587,0.420407,3,144761698326,59.5803901,-36.9207192,1650877126687064381,698.8571493,-0.11304000001643999,0.03635999999005435
168,-1,-1,-36.8937938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7876919915,MS_9813_3809,MS_9813_3809_3,1,1,,59.7084013,0.950503,3,144761398449,59.7084005,-36.8937602,1650868330594049775,,0.0028799999824968836,-0.12095999998109619
169,-1,-1,-37.0046904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7876941138,MS_9813_3693,MS_9813_3693_3,1,1,,59.6456103,0.939382,3,144761324971,59.6455715,-37.004648,1650806757942888738,591.2071343,0.13967999999522362,-0.15263999999319822
170,-1,-1,-36.8272724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7876695509,MS_9813_3198,MS_9813_3198_3,1,1,,59.5008949,0.873467,3,144761828134,59.5009032,-36.8272053,1650877126687067285,,-0.02988000001664659,-0.24155999998356492
171,-1,-1,-36.540353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40705,hl_ms_40705,hl_ms_40705_3,1,1,,59.7443445,1.01858,3,144762154999,59.7445819,-36.540721,1650991475896353176,1706.4729871,-0.8546400000113863,1.3247999999805415
172,-1,-1,-36.540353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40705,hl_ms_40705,hl_ms_40705_3,1,1,,59.7443445,1.01858,3,144762154999,59.7443936,-36.5405621,1650991475896354208,-796.3220126,-0.1767600000192715,0.7527599999974655
173,-1,-1,-36.7761527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875011258,MS_9813_31,MS_9813_31_3,1,1,,59.6292801,0.149789,3,144761796869,59.6292371,-36.7761462,1650929903245202213,-701.4446469,0.1548000000184402,-0.023399999992079756
