LAMBDA,mag,u,g,r,i,z,Y,atm
3260,0,0.033379526,0,0,0,0,0,0.40300606
3261,0,0.034157422,0,0,0,0,0,0.405413876
3262,0,0.034947322,0,0,0,0,0,0.407821804
3263,0,0.035749346,0,0,0,0,0,0.410229846
3264,0,0.036563619,0,0,0,0,0,0.412638
3265,0,0.037387492,0,0,0,0,0,0.415046268
3266,0,0.038037979,0,0,0,0,0,0.415425482
3267,0,0.038697684,0,0,0,0,0,0.415804709
3268,0,0.039363861,0,0,0,0,0,0.416183949
3269,0,0.040036536,0,0,0,0,0,0.4165632
3270,0,0.040715738,0,0,0,0,0,0.416942463
3271,0,0.041260212,0,0,0,0,0,0.416030293
3272,0,0.041807127,0,0,0,0,0,0.41511807
3273,0,0.042356462,0,0,0,0,0,0.414205796
3274,0,0.042908195,0,0,0,0,0,0.413293471
3275,0,0.043459243,0,0,0,0,0,0.412381094
3276,0,0.044052072,0,0,0,0,0,0.411837696
3277,0,0.044651479,0,0,0,0,0,0.411294265
3278,0,0.045254393,0,0,0,0,0,0.410750801
3279,0,0.045860807,0,0,0,0,0,0.410207303
3280,0,0.046470713,0,0,0,0,0,0.409663773
3281,0,0.047385554,0,0,0,0,0,0.4115192
3282,0,0.048312312,0,0,0,0,0,0.413374712
3283,0,0.049251076,0,0,0,0,0,0.415230309
3284,0,0.050201933,0,0,0,0,0,0.41708599
3285,0,0.051161544,0,0,0,0,0,0.418941755
3286,0,0.052247591,0,0,0,0,0,0.421720407
3287,0,0.053352695,0,0,0,0,0,0.424499187
3288,0,0.054473572,0,0,0,0,0,0.427278097
3289,0,0.055610372,0,0,0,0,0,0.430057137
3290,0,0.056763241,0,0,0,0,0,0.432836305
3291,0,0.057650451,0,0,0,0,0,0.434323522
3292,0,0.058547271,0,0,0,0,0,0.435810804
3293,0,0.05945378,0,0,0,0,0,0.437298153
3294,0,0.060370056,0,0,0,0,0,0.438785567
3295,0,0.061292261,0,0,0,0,0,0.440273047
3296,0,0.062016284,0,0,0,0,0,0.440283749
3297,0,0.062749304,0,0,0,0,0,0.440294446
3298,0,0.063487426,0,0,0,0,0,0.440305136
3299,0,0.064230673,0,0,0,0,0,0.44031582
3300,0,0.064979066,0,0,0,0,0,0.440326497
3301,0,0.065641785,0,0,0,0,0,0.439598658
3302,0,0.066307203,0,0,0,0,0,0.438870776
3303,0,0.066975305,0,0,0,0,0,0.438142853
3304,0,0.067646076,0,0,0,0,0,0.437414888
3305,0,0.068315328,0,0,0,0,0,0.43668688
3306,0,0.069074824,0,0,0,0,0,0.436512782
3307,0,0.069843124,0,0,0,0,0,0.436338668
3308,0,0.070616052,0,0,0,0,0,0.436164539
3309,0,0.0713936,0,0,0,0,0,0.435990395
3310,0,0.072175756,0,0,0,0,0,0.435816236
3311,0,0.07309802,0,0,0,0,0,0.436934769
3312,0,0.074028624,0,0,0,0,0,0.438053348
3313,0,0.074843844,0,0,0,0,0,0.439171975
3314,0,0.07566539,0,0,0,0,0,0.44029065
3315,0,0.076457318,0,0,0,0,0,0.441409371
3316,0,0.077416191,0,0,0,0,0,0.443451612
3317,0,0.078378867,0,0,0,0,0,0.445493945
3318,0,0.079349885,0,0,0,0,0,0.447536368
3319,0,0.080329289,0,0,0,0,0,0.449578884
3320,0,0.081317123,0,0,0,0,0,0.45162149
3321,0,0.082124481,0,0,0,0,0,0.45292532
3322,0,0.082937478,0,0,0,0,0,0.454229207
3323,0,0.0837513,0,0,0,0,0,0.455533148
3324,0,0.084570735,0,0,0,0,0,0.456837146
3325,0,0.085400722,0,0,0,0,0,0.458141199
3326,0,0.08606307,0,0,0,0,0,0.458521613
3327,0,0.08672381,0,0,0,0,0,0.458902039
3328,0,0.087387865,0,0,0,0,0,0.459282476
3329,0,0.088055245,0,0,0,0,0,0.459662924
3330,0,0.088725959,0,0,0,0,0,0.460043384
3331,0,0.089187907,0,0,0,0,0,0.459500051
3332,0,0.08965072,0,0,0,0,0,0.458956685
3333,0,0.090109295,0,0,0,0,0,0.458413287
3334,0,0.090568697,0,0,0,0,0,0.457869856
3335,0,0.091034051,0,0,0,0,0,0.457326393
3336,0,0.091610766,0,0,0,0,0,0.457337245
3337,0,0.092184208,0,0,0,0,0,0.45734809
3338,0,0.092759683,0,0,0,0,0,0.45735893
3339,0,0.093337357,0,0,0,0,0,0.457369763
3340,0,0.09391739,0,0,0,0,0,0.457380591
3341,0,0.094713215,0,0,0,0,0,0.458685044
3342,0,0.095514357,0,0,0,0,0,0.459989552
3343,0,0.096315624,0,0,0,0,0,0.461294115
3344,0,0.097122423,0,0,0,0,0,0.462598733
3345,0,0.097940291,0,0,0,0,0,0.463903406
3346,0,0.098803283,0,0,0,0,0,0.465392959
3347,0,0.099617875,0,0,0,0,0,0.466882577
3348,0,0.100438227,0,0,0,0,0,0.468372258
3349,0,0.1011144,0,0,0,0,0,0.469862002
3350,0,0.101794434,0,0,0,0,0,0.471351809
3351,0,0.102340036,0,0,0,0,0,0.472287135
3352,0,0.102888556,0,0,0,0,0,0.473222498
3353,0,0.10343998,0,0,0,0,0,0.474157898
3354,0,0.103994283,0,0,0,0,0,0.475093335
3355,0,0.104551426,0,0,0,0,0,0.476028809
3356,0,0.104989085,0,0,0,0,0,0.476409711
3357,0,0.105428595,0,0,0,0,0,0.476790623
3358,0,0.105869878,0,0,0,0,0,0.477171546
3359,0,0.106312841,0,0,0,0,0,0.477552481
3360,0,0.106757374,0,0,0,0,0,0.477933426
3361,0,0.10705791,0,0,0,0,0,0.477759707
3362,0,0.1073589,0,0,0,0,0,0.477585974
3363,0,0.107660177,0,0,0,0,0,0.477412225
3364,0,0.10796156,0,0,0,0,0,0.477238461
3365,0,0.108262851,0,0,0,0,0,0.477064683
3366,0,0.10856383,0,0,0,0,0,0.476890889
3367,0,0.108865135,0,0,0,0,0,0.476717081
3368,0,0.109166777,0,0,0,0,0,0.476543257
3369,0,0.109468765,0,0,0,0,0,0.476369419
3370,0,0.109771113,0,0,0,0,0,0.476195565
3371,0,0.110118521,0,0,0,0,0,0.476391566
3372,0,0.110466668,0,0,0,0,0,0.47658757
3373,0,0.110815565,0,0,0,0,0,0.476783575
3374,0,0.111165226,0,0,0,0,0,0.476979583
3375,0,0.111515664,0,0,0,0,0,0.477175593
3376,0,0.112083602,0,0,0,0,0,0.478296386
3377,0,0.112653475,0,0,0,0,0,0.479417224
3378,0,0.113225277,0,0,0,0,0,0.480538107
3379,0,0.113799005,0,0,0,0,0,0.481659035
3380,0,0.114374653,0,0,0,0,0,0.482780008
3381,0,0.114942248,0,0,0,0,0,0.483901025
3382,0,0.115511718,0,0,0,0,0,0.485022088
3383,0,0.116083052,0,0,0,0,0,0.486143196
3384,0,0.116656238,0,0,0,0,0,0.487264348
3385,0,0.117231265,0,0,0,0,0,0.488385546
3386,0,0.11767479,0,0,0,0,0,0.488951791
3387,0,0.118119647,0,0,0,0,0,0.489518056
3388,0,0.118565757,0,0,0,0,0,0.49008434
3389,0,0.119013046,0,0,0,0,0,0.490650643
3390,0,0.119461448,0,0,0,0,0,0.491216965
3391,0,0.119860243,0,0,0,0,0,0.491598287
3392,0,0.120259748,0,0,0,0,0,0.491979619
3393,0,0.12065991,0,0,0,0,0,0.492360961
3394,0,0.121060682,0,0,0,0,0,0.492742314
3395,0,0.121462022,0,0,0,0,0,0.493123678
3396,0,0.121772406,0,0,0,0,0,0.493134969
3397,0,0.12208276,0,0,0,0,0,0.493146255
3398,0,0.122393093,0,0,0,0,0,0.493157534
3399,0,0.122703416,0,0,0,0,0,0.493168806
3400,0,0.123013746,0,0,0,0,0,0.493180072
3401,0,0.123359917,0,0,0,0,0,0.493561457
3402,0,0.123706374,0,0,0,0,0,0.493942852
3403,0,0.124053145,0,0,0,0,0,0.494324258
3404,0,0.124400263,0,0,0,0,0,0.494705674
3405,0,0.124747764,0,0,0,0,0,0.4950871
3406,0,0.125189148,0,0,0,0,0,0.495838704
3407,0,0.125631384,0,0,0,0,0,0.496590336
3408,0,0.126074519,0,0,0,0,0,0.497341995
3409,0,0.126518609,0,0,0,0,0,0.498093681
3410,0,0.126963714,0,0,0,0,0,0.498845394
3411,0,0.127364205,0,0,0,0,0,0.49941203
3412,0,0.127765668,0,0,0,0,0,0.499978685
3413,0,0.128168177,0,0,0,0,0,0.500545358
3414,0,0.128571808,0,0,0,0,0,0.501112051
3415,0,0.128976645,0,0,0,0,0,0.501678762
3416,0,0.129382882,0,0,0,0,0,0.502245492
3417,0,0.129790205,0,0,0,0,0,0.502812241
3418,0,0.130198563,0,0,0,0,0,0.503379008
3419,0,0.130607906,0,0,0,0,0,0.503945794
3420,0,0.131018182,0,0,0,0,0,0.504512599
